Company name,ASX code,GICS industry group
"CASSINI RESOURCES LIMITED",CZI,"Materials"
"CASTILLO COPPER LIMITED",CCZ,"Materials"
"CASTLE MINERALS LIMITED",CDT,"Materials"
"CATALYST METALS LIMITED",CYL,"Materials"
"CATAPULT GROUP INTERNATIONAL LTD",CAT,"Technology Hardware & Equipment"
"CAULDRON ENERGY LIMITED",CXU,"Energy"
"CAZALY RESOURCES LIMITED",CAZ,"Materials"
"CBG CAPITAL LIMITED",CBC,"Not Applic"
"CBL CORPORATION LIMITED",CBL,"Insurance"
"CCP TECHNOLOGIES LIMITED",CT1,"Technology Hardware & Equipment"
"CEDAR WOODS PROPERTIES LIMITED",CWP,"Real Estate"
"CELAMIN HOLDINGS NL",CNL,"Materials"
"CELLMID LIMITED",CDY,"Pharmaceuticals, Biotechnology & Life Sciences"
"CELLNET GROUP LIMITED",CLT,"Technology Hardware & Equipment"
"CELSIUS RESOURCES LIMITED",CLA,"Materials"
"CENTAURUS METALS LIMITED",CTM,"Materials"
"CENTENNIAL MINING LIMITED",CTL,"Materials"
"CENTRAL ASIA RESOURCES LIMITED.",CVR,"Materials"
"CENTRAL PETROLEUM LIMITED",CTP,"Energy"
"CENTREPOINT ALLIANCE LIMITED",CAF,"Diversified Financials"
"CENTREX METALS LIMITED",CXM,"Materials"
"CENTURIA CAPITAL GROUP",CNI,"Diversified Financials"
"CENTURIA INDUSTRIAL REIT",CIP,"Real Estate"
"CENTURIA METROPOLITAN REIT",CMA,"Real Estate"
"CENTURIA URBAN REIT",CUA,"Real Estate"
"CENTURY AUSTRALIA INVESTMENTS LIMITED",CYA,"Diversified Financials"
"CERAMIC FUEL CELLS LIMITED",CFU,"Capital Goods"
"CERVANTES CORPORATION LIMITED",CVS,"Materials"
"CFOAM LIMITED",CFO,"Capital Goods"
"CHALICE GOLD MINES LIMITED",CHN,"Materials"
"CHALLENGER ENERGY LIMITED",CEL,"Energy"
"CHALLENGER LIMITED",CGF,"Diversified Financials"
"CHALLENGER MILLENNIUM SERIES 2007-1E TRUST",CHJ,"Not Applic"
"CHALLENGER MILLENNIUM SERIES 2007-2L TRUST",CHU,"Not Applic"
"CHALMERS LIMITED",CHR,"Transportation"
"CHAMPION IRON LIMITED",CIA,"Materials"
"CHAPMANS LIMITED",CHP,"Diversified Financials"
"CHARTER HALL GROUP",CHC,"Real Estate"
"CHARTER HALL LONG WALE REIT",CLW,"Real Estate"
"CHARTER HALL RETAIL REIT",CQR,"Real Estate"
"CHESSER RESOURCES LIMITED",CHZ,"Materials"
"CHIMPCHANGE LIMITED",CCA,"Software & Services"
"CHINA CONSTRUCTION BANK CORPORATION",CCB,"Not Applic"
"CHINA DAIRY CORPORATION LIMITED",CDC,"Food, Beverage & Tobacco"
"CHINA MAGNESIUM CORPORATION LIMITED",CMC,"Materials"
"CHINALCO YUNNAN COPPER RESOURCES LTD",CYU,"Materials"
"CHONGHERR INVESTMENTS LTD",CDH,"Materials"
"CHORUS LIMITED",CNU,"Telecommunication Services"
"CI RESOURCES LIMITED",CII,"Materials"
"CIMIC GROUP LIMITED",CIM,"Capital Goods"
"CIRRUS NETWORKS HOLDINGS LIMITED",CNW,"Software & Services"
"CITATION RESOURCES LTD",CTR,"Energy"
"CITIGOLD CORPORATION LIMITED",CTO,"Materials"
"CLANCY EXPLORATION LIMITED",CLY,"Materials"
"CLARIUS GROUP LIMITED",CND,"Commercial & Professional Services"
"CLASS LIMITED",CL1,"Software & Services"
"CLASSIC MINERALS LTD",CLZ,"Materials"
"CLEAN SEAS SEAFOOD LIMITED",CSS,"Food, Beverage & Tobacco"
"CLEAN TEQ HOLDINGS LIMITED",CLQ,"Commercial & Professional Services"
"CLEANAWAY WASTE MANAGEMENT LIMITED",CWY,"Commercial & Professional Services"
"CLEARVIEW WEALTH LIMITED",CVW,"Diversified Financials"
"CLEVELAND MINING COMPANY LIMITED",CDG,"Materials"
"CLIME CAPITAL LIMITED",CAM,"Not Applic"
"CLIME INVESTMENT MANAGEMENT LTD",CIW,"Diversified Financials"
"CLINUVEL PHARMACEUTICALS LIMITED",CUV,"Pharmaceuticals, Biotechnology & Life Sciences"
"CLOVER CORPORATION LIMITED",CLV,"Health Care Equipment & Services"
"CMI LIMITED.",CMI,"Capital Goods"
"CML GROUP LIMITED",CGR,"Commercial & Professional Services"
"COAL OF AFRICA LIMITED",CZA,"Energy"
"COALBANK LIMITED",CBQ,"Energy"
"COASSETS LIMITED.",CA8,"Software & Services"
"COBALT BLUE HOLDINGS LIMITED",COB,"Materials"
"COCA-COLA AMATIL LIMITED",CCL,"Food, Beverage & Tobacco"
"COCHLEAR LIMITED",COH,"Health Care Equipment & Services"
"CODAN LIMITED",CDA,"Technology Hardware & Equipment"
"COGSTATE LTD",CGS,"Health Care Equipment & Services"
"COHIBA MINERALS LIMITED",CHK,"Materials"
"COKAL LIMITED",CKA,"Materials"
"COLLABORATE CORPORATION LIMITED",CL8,"Software & Services"
"COLLECTION HOUSE LIMITED",CLH,"Commercial & Professional Services"
"COLLERINA COBALT LIMITED",CLL,"Materials"
"COLLINS FOODS LIMITED",CKF,"Consumer Services"
"COMET RESOURCES LIMITED",CRL,"Materials"
"COMET RIDGE LIMITED",COI,"Energy"
"COMMONWEALTH BANK OF AUSTRALIA.",CBA,"Banks"
"COMOPS LIMITED",COM,"Software & Services"
"COMPAGNIE DE FINANCEMENT FONCIER",CFF,"Not Applic"
"COMPUMEDICS LIMITED",CMP,"Health Care Equipment & Services"
"COMPUTERSHARE LIMITED.",CPU,"Software & Services"
"CONDOR BLANCO MINES LIMITED",CDB,"Materials"
"CONICO LTD",CNJ,"Materials"
"CONNECTED IO LIMITED",CIO,"Technology Hardware & Equipment"
"CONNEXION MEDIA LIMITED",CXZ,"Commercial & Professional Services"
"CONSOLIDATED OPERATIONS GROUP LIMITED",COG,"Not Applic"
"CONSOLIDATED TIN MINES LIMITED",CSD,"Materials"
"CONSOLIDATED ZINC LIMITED",CZL,"Materials"
"CONTACT ENERGY LIMITED",CEN,"Utilities"
"CONTANGO ASSET MANAGEMENT LIMITED",CGA,"Diversified Financials"
"CONTANGO GLOBAL GROWTH LIMITED",CQG,"Class Pend"
"CONTANGO INCOME GENERATOR  LIMITED",CIE,"Not Applic"
"CONTANGO MICROCAP LIMITED",CTN,"Diversified Financials"
"COOPER ENERGY LIMITED",COE,"Energy"
"COPPER STRIKE LIMITED",CSE,"Materials"
"COPPERMOLY LIMITED",COY,"Materials"
"CORAZON MINING LIMITED",CZN,"Materials"
"CORE EXPLORATION LIMITED",CXO,"Materials"
"CORIZON LIMITED",CIZ,"Materials"
"CORPORATE TRAVEL MANAGEMENT LIMITED",CTD,"Consumer Services"
"CORUM GROUP LIMITED",COO,"Software & Services"
"COSTA GROUP HOLDINGS LIMITED",CGC,"Food, Beverage & Tobacco"
"COTT OIL AND GAS LIMITED",CMT,"Energy"
"COUGAR METALS NL",CGM,"Materials"
"COUNTPLUS LIMITED",CUP,"Commercial & Professional Services"
"COUNTY INTERNATIONAL LIMITED",CCJ,"Energy"
"COVATA LIMITED",CVT,"Software & Services"
"COVENTRY GROUP LIMITED",CYG,"Capital Goods"
"COVENTRY RESOURCES LIMITED.",CYY,"Materials"
"COZIRON RESOURCES LIMITED",CZR,"Materials"
"CPT GLOBAL LIMITED",CGO,"Software & Services"
"CRADLE RESOURCES LIMITED",CXX,"Materials"
"CRATER GOLD MINING LIMITED",CGN,"Materials"
"CRE8TEK LIMITED",CR8,"Software & Services"
"CREDIT CORP GROUP LIMITED",CCP,"Diversified Financials"
"CRESO PHARMA LIMITED",CPH,"Pharmaceuticals, Biotechnology & Life Sciences"
"CROMWELL PROPERTY GROUP",CMW,"Real Estate"
"CROSSLAND STRATEGIC METALS LTD",CUX,"Materials"
"CROWD MOBILE LIMITED",CM8,"Media"
"CROWN RESORTS LIMITED",CWN,"Consumer Services"
"CRUSADE ABS SERIES 2013-1 TRUST",CUF,"Not Applic"
"CRUSADE ABS SERIES 2015-1 TRUST",CUH,"Not Applic"
"CRUSADE ABS SERIES 2016-1 TRUST",CU1,"Not Applic"
"CRUSADE ABS SERIES 2017-1 TRUST",CU2,"Not Applic"
"CRUSADE EURO TRUST NO.1E OF 2007",CSN,"Not Applic"
"CRUSADER RESOURCES LIMITED",CAS,"Materials"
"CRYOSITE LIMITED",CTE,"Pharmaceuticals, Biotechnology & Life Sciences"
"CSG LIMITED",CSV,"Software & Services"
"CSL LIMITED",CSL,"Pharmaceuticals, Biotechnology & Life Sciences"
"CSR LIMITED",CSR,"Materials"
"CTI LOGISTICS LIMITED",CLX,"Transportation"
"CUDECO LIMITED",CDU,"Materials"
"CUE ENERGY RESOURCES LIMITED",CUE,"Energy"
"CULLEN RESOURCES LIMITED",CUL,"Materials"
"CV CHECK LTD",CV1,"Software & Services"
"CVC LIMITED",CVC,"Diversified Financials"
"CWH RESOURCES LTD",CWH,"Materials"
"CYBG PLC",CYB,"Banks"
"CYCLIQ GROUP LTD",CYQ,"Software & Services"
"CYCLOPHARM LIMITED",CYC,"Health Care Equipment & Services"
"CYNATA THERAPEUTICS LIMITED",CYP,"Pharmaceuticals, Biotechnology & Life Sciences"
"DACIAN GOLD LIMITED",DCN,"Materials"
"DAKOTA MINERALS LIMITED",DKO,"Materials"
"DAMPIER GOLD LIMITED",DAU,"Materials"
"DANAKALI LIMITED",DNK,"Materials"
"DARK HORSE RESOURCES LIMITED",DHR,"Materials"
"DART MINING NL",DTM,"Materials"
"DATA#3 LIMITED",DTL,"Software & Services"
"DATADOT TECHNOLOGY LIMITED",DDT,"Automobiles & Components"
"DATELINE RESOURCES LIMITED",DTR,"Materials"
"DATETIX GROUP LTD",DTX,"Software & Services"
"DAVENPORT RESOURCES LIMITED",DAV,"Materials"
"DAWINE LTD",DW8,"Food, Beverage & Tobacco"
"DE GREY MINING LIMITED",DEG,"Materials"
"DE.MEM LIMITED",DEM,"Utilities"
"DECIMAL SOFTWARE LIMITED",DSX,"Software & Services"
"DECMIL GROUP LIMITED",DCG,"Capital Goods"
"DEEP YELLOW LIMITED",DYL,"Energy"
"DELECTA LIMITED",DLC,"Retailing"
"DELTA SBD LIMITED",DSB,"Materials"
"DEMPSEY MINERALS LIMITED",DMI,"Materials"
"DEPARTMENT 13 INTERNATIONAL LTD",D13,"Capital Goods"
"DESANE GROUP HOLDINGS LIMITED",DGH,"Real Estate"
"DEVINE LIMITED",DVN,"Real Estate"
"DEXUS",DXS,"Real Estate"
"DGO GOLD LIMITED",DGO,"Materials"
"DGR GLOBAL LIMITED",DGR,"Materials"
"DIATREME RESOURCES LIMITED",DRX,"Materials"
"DICKER DATA LIMITED",DDR,"Technology Hardware & Equipment"
"DIGIMATIC GROUP LIMITED",DMC,"Software & Services"
"DIGITALX LIMITED",DCC,"Software & Services"
"DIMERIX LIMITED",DXB,"Pharmaceuticals, Biotechnology & Life Sciences"
"DING SHENG XIN FINANCE CO. LIMITED",DXF,"Diversified Financials"
"DIPLOMA GROUP LIMITED",DGX,"Capital Goods"
"DIRECTMONEY LIMITED",DM1,"Diversified Financials"
"DISCOVERY AFRICA LIMITED",DAF,"Materials"
"DIVERSIFIED UNITED INVESTMENT LIMITED",DUI,"Diversified Financials"
"DJERRIWARRH INVESTMENTS LIMITED",DJW,"Diversified Financials"
"DOMACOM LIMITED",DCL,"Diversified Financials"
"DOME GOLD MINES LIMITED",DME,"Materials"
"DOMINO'S PIZZA ENTERPRISES LIMITED",DMP,"Consumer Services"
"DONACO INTERNATIONAL LIMITED",DNA,"Consumer Services"
"DONGFANG MODERN AGRICULTURE HOLDING GROUP LIMITED",DFM,"Food, Beverage & Tobacco"
"DORAY MINERALS LIMITED",DRM,"Materials"
"DORSAVI LTD",DVL,"Pharmaceuticals, Biotechnology & Life Sciences"
"DOTZ NANO LIMITED",DTZ,"Semiconductors & Semiconductor Equipment"
"DOWNER EDI LIMITED",DOW,"Commercial & Professional Services"
"DRAGON MINING LIMITED",DRA,"Materials"
"DRAGON MOUNTAIN GOLD LIMITED",DMG,"Materials"
"DRAGONTAIL SYSTEMS LIMITED",DTS,"Software & Services"
"DRAIG RESOURCES LIMITED",DRG,"Materials"
"DRAKE RESOURCES LIMITED",DRK,"Materials"
"DREAMSCAPE NETWORKS LIMITED",DN8,"Software & Services"
"DRIVER AUSTRALIA MASTER TRUST",DAM,"Not Applic"
"DRIVER AUSTRALIA THREE TRUST",DAE,"Not Applic"
"DRIVER AUSTRALIA TWO TRUST",DAQ,"Not Applic"
"DRONESHIELD LIMITED",DRO,"Technology Hardware & Equipment"
"DROPSUITE LIMITED",DSE,"Software & Services"
"DTI GROUP LTD",DTI,"Technology Hardware & Equipment"
"DUBBER CORPORATION LIMITED",DUB,"Software & Services"
"DUKETON MINING LIMITED",DKM,"Materials"
"DULUXGROUP LIMITED",DLX,"Materials"
"DUXTON WATER LIMITED",D2O,"Utilities"
"DWS LIMITED",DWS,"Software & Services"
"DYESOL LIMITED",DYE,"Semiconductors & Semiconductor Equipment"
"DYNASTY RESOURCES LIMITED",DMA,"Materials"
"E2 METALS LIMITED",E2M,"Materials"
"EAGLE HEALTH HOLDINGS LIMITED",EHH,"Class Pend"
"EAGLE NICKEL LIMITED",ENL,"Materials"
"EAST ENERGY RESOURCES LIMITED",EER,"Energy"
"EAST WEST ENERGY LIMITED",EWE,"Energy"
"EASTERN GOLDFIELDS LIMITED",EGS,"Materials"
"EASTERN IRON LIMITED",EFE,"Materials"
"EASTON INVESTMENTS LIMITED",EAS,"Diversified Financials"
"EBOS GROUP LIMITED",EBO,"Health Care Equipment & Services"
"ECARGO HOLDINGS LIMITED",ECG,"Commercial & Professional Services"
"ECHO RESOURCES LIMITED",EAR,"Materials"
"ECLIPSE METALS LIMITED.",EPM,"Energy"
"ECLIPX GROUP LIMITED",ECX,"Diversified Financials"
"EDEN INNOVATIONS LTD",EDE,"Energy"
"EGAN STREET RESOURCES LIMITED",EGA,"Materials"
"EILDON CAPITAL LIMITED",EDC,"Diversified Financials"
"ELANOR INVESTORS GROUP",ENN,"Consumer Services"
"ELANOR RETAIL PROPERTY FUND",ERF,"Real Estate"
"ELDERS LIMITED",ELD,"Food, Beverage & Tobacco"
"ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED",EOS,"Capital Goods"
"ELEMENTOS LIMITED",ELT,"Materials"
"ELIXIR PETROLEUM LIMITED",EXR,"Energy"
"ELK PETROLEUM LIMITED",ELK,"Energy"
"ELLERSTON ASIAN INVESTMENTS LIMITED",EAI,"Not Applic"
"ELLERSTON GLOBAL INVESTMENTS LIMITED",EGI,"Not Applic"
"ELLEX MEDICAL LASERS LIMITED",ELX,"Health Care Equipment & Services"
"ELSIGHT LIMITED",ELS,"Class Pend"
"ELYSIUM RESOURCES LIMITED",EYM,"Materials"
"EMBELTON LIMITED",EMB,"Capital Goods"
"EMECO HOLDINGS LIMITED",EHL,"Capital Goods"
"EMEFCY GROUP LIMITED",EMC,"Commercial & Professional Services"
"EMERALD RESOURCES NL",EMR,"Materials"
"EMERGENT RESOURCES LIMITED",EMG,"Materials"
"EMERGING MARKETS MASTERS FUND",EMF,"Not Applic"
"EML PAYMENTS LIMITED",EML,"Diversified Financials"
"EMMERSON RESOURCES LIMITED",ERM,"Materials"
"EMPEROR RANGE GROUP LIMITED",ERX,"Materials"
"EMPIRE ENERGY GROUP LIMITED",EEG,"Energy"
"EMPIRE OIL & GAS NL",EGO,"Energy"
"EMPIRE RESOURCES LIMITED",ERL,"Materials"
"EMPIRED LTD",EPD,"Software & Services"
"EMU NL",EMU,"Materials"
"ENCOUNTER RESOURCES LIMITED",ENR,"Materials"
"ENEABBA GAS LIMITED",ENB,"Utilities"
"ENEGEX LIMITED",ENX,"Energy"
"ENERGIA MINERALS LIMITED",EMX,"Energy"
"ENERGY ACTION LIMITED",EAX,"Commercial & Professional Services"
"ENERGY METALS LTD",EME,"Energy"
"ENERGY ONE LIMITED",EOL,"Software & Services"
"ENERGY RESOURCES OF AUSTRALIA LIMITED",ERA,"Energy"
"ENERGY TECHNOLOGIES LIMITED",EGY,"Capital Goods"
"ENERGY WORLD CORPORATION LTD",EWC,"Utilities"
"ENERJI LTD",ERJ,"Utilities"
"ENERO GROUP LIMITED",EGG,"Media"
"ENGENCO LIMITED",EGN,"Capital Goods"
"ENHANCED OIL & GAS RECOVERY LIMITED",EOR,"Energy"
"ENICE HOLDING COMPANY LIMITED",ENC,"Telecommunication Services"
"ENNOX GROUP LTD",EXO,"Diversified Financials"
"ENSOGO LIMITED",E88,"Retailing"
"ENSURANCE LTD",ENA,"Insurance"
"ENTEK ENERGY LTD",ETE,"Energy"
"ENTERPRISE METALS LIMITED",ENT,"Materials"
"ENVIROMISSION LIMITED",EVM,"Utilities"
"ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED",ESI,"Commercial & Professional Services"
"ENVIRONMENTAL GROUP LIMITED (THE)",EGL,"Capital Goods"
"ENVIROSUITE LIMITED",EVS,"Commercial & Professional Services"
"ENZUMO LIMITED",ENZ,"Software & Services"
"EPAT TECHNOLOGIES LTD",EPT,"Health Care Equipment & Services"
"EPHRAIM RESOURCES LIMITED",EPA,"Not Applic"
"EQT HOLDINGS LIMITED",EQT,"Diversified Financials"
"EQUATOR RESOURCES LTD",EQU,"Materials"
"EQUATORIAL RESOURCES LIMITED",EQX,"Materials"
"EQUUS MINING LIMITED",EQE,"Materials"
"ERM POWER LIMITED",EPW,"Utilities"
"ESENSE-LAB LTD",ESE,"Pharmaceuticals, Biotechnology & Life Sciences"
"ESERVGLOBAL LIMITED",ESV,"Software & Services"
"ESPERANCE MINERALS LIMITED",ESM,"Materials"
"ESPORTS MOGUL ASIA PACIFIC LIMITED",ESH,"Software & Services"
"ESTIA HEALTH LIMITED",EHE,"Health Care Equipment & Services"
"ESTRELLA RESOURCES LIMITED",ESR,"Materials"
"ETFS METAL SECURITIES AUSTRALIA LIMITED.",GOL,"Diversified Financials"
"ETHERSTACK PLC",ESK,"Software & Services"
"EUMUNDI GROUP LIMITED",EBG,"Consumer Services"
"EUREKA GROUP HOLDINGS LIMITED",EGH,"Real Estate"
"EUROPEAN LITHIUM LIMITED",EUR,"Materials"
"EUROPEAN METALS HOLDINGS LIMITED",EMH,"Materials"
"EUROZ LIMITED",EZL,"Diversified Financials"
"EVE INVESTMENTS LIMITED",EVE,"Diversified Financials"
"EVENT HOSPITALITY AND ENTERTAINMENT LTD",EVT,"Media"
"EVOLUTION MINING LIMITED",EVN,"Materials"
"EVOLVE EDUCATION GROUP LIMITED",EVO,"Consumer Services"
"EVZ LIMITED",EVZ,"Capital Goods"
"EXCELSIOR GOLD LIMITED",EXG,"Materials"
"EXPLAURUM LIMITED",EXU,"Materials"
"EXTERRA RESOURCES LIMITED",EXC,"Materials"
"EZA CORPORATION LTD",EZA,"Commercial & Professional Services"
"FACTOR THERAPEUTICS LIMITED",FTT,"Pharmaceuticals, Biotechnology & Life Sciences"
"FAIRFAX MEDIA LIMITED",FXJ,"Media"
"FAMILY ZONE CYBER SAFETY LIMITED",FZO,"Software & Services"
"FAR LIMITED",FAR,"Energy"
"FARM PRIDE FOODS LIMITED",FRM,"Food, Beverage & Tobacco"
"FARMAFORCE LIMITED",FFC,"Health Care Equipment & Services"
"FASTBRICK ROBOTICS LTD",FBR,"Capital Goods"
"FASTER ENTERPRISES LTD",FE8,"Real Estate"
"FAT PROPHETS GLOBAL CONTRARIAN FUND LTD",FPC,"Not Applic"
"FATFISH INTERNET GROUP LTD",FFG,"Diversified Financials"
"FE LIMITED",FEL,"Materials"
"FERRUM CRESCENT LIMITED",FCR,"Materials"
"FERTOZ LIMITED",FTZ,"Materials"
"FFI HOLDINGS LIMITED",FFI,"Food, Beverage & Tobacco"
"FIDUCIAN GROUP LIMITED",FID,"Diversified Financials"
"FIELD SOLUTIONS HOLDINGS LIMITED",FSG,"Telecommunication Services"
"FINBAR GROUP LIMITED",FRI,"Real Estate"
"FINDERS RESOURCES LIMITED",FND,"Materials"
"FIRST GRAPHITE LIMITED",FGR,"Materials"
"FIRST GROWTH FUNDS LIMITED",FGF,"Not Applic"
"FIRSTMAC MORTGAGE FUNDING TRUST SERIES 1-2007",FMA,"Not Applic"
"FIRSTWAVE CLOUD TECHNOLOGY LIMITED",FCT,"Software & Services"
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED",FPH,"Health Care Equipment & Services"
"FITZROY RIVER CORPORATION LTD",FZR,"Energy"
"FLAGSHIP INVESTMENTS LIMITED",FSI,"Diversified Financials"
"FLEETWOOD CORPORATION LIMITED",FWD,"Consumer Durables & Apparel"
"FLETCHER BUILDING LIMITED",FBU,"Materials"
"FLEXIGROUP LIMITED",FXL,"Diversified Financials"
"FLEXIROAM LIMITED",FRX,"Telecommunication Services"
"FLIGHT CENTRE TRAVEL GROUP LIMITED",FLT,"Consumer Services"
"FLINDERS MINES LIMITED",FMS,"Materials"
"FOCUS MINERALS LTD",FML,"Materials"
"FOLKESTONE EDUCATION TRUST",FET,"Real Estate"
"FOLKESTONE LIMITED",FLK,"Real Estate"
"FONTERRA SHAREHOLDERS' FUND",FSF,"Food, Beverage & Tobacco"
"FORAGER AUSTRALIAN SHARES FUND",FOR,"Not Applic"
"FORCE COMMODITIES LIMITED",4CE,"Materials"
"FORTE CONSOLIDATED LIMITED",FRC,"Materials"
"FORTESCUE METALS GROUP LTD",FMG,"Materials"
"FOY GROUP LIMITED",FOY,"Materials"
"FRASER RANGE METALS GROUP LTD",FRN,"Materials"
"FREEDOM FOODS GROUP LIMITED",FNP,"Food, Beverage & Tobacco"
"FREEDOM INSURANCE GROUP LTD",FIG,"Insurance"
"FREEDOM OIL AND GAS LTD",FDM,"Energy"
"FREEHILL MINING LIMITED.",FHS,"Materials"
"FREELANCER LIMITED",FLN,"Software & Services"
"FRONTIER CAPITAL GROUP LIMITED",FCG,"Commercial & Professional Services"
"FRONTIER DIGITAL VENTURES LIMITED",FDV,"Software & Services"
"FRONTIER RESOURCES LIMITED",FNT,"Materials"
"FSA GROUP LIMITED",FSA,"Diversified Financials"
"FUNTASTIC LIMITED",FUN,"Retailing"
"FUTURE FIBRE TECHNOLOGIES LIMITED",FFT,"Technology Hardware & Equipment"
"FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED",FGG,"Not Applic"
"FUTURE GENERATION INVESTMENT COMPANY LIMITED",FGX,"Not Applic"
"FYI RESOURCES LIMITED",FYI,"Materials"
"G MEDICAL INNOVATIONS HOLDINGS LIMITED",GMV,"Health Care Equipment & Services"
"G.U.D. HOLDINGS LIMITED",GUD,"Consumer Durables & Apparel"
"G8 EDUCATION LIMITED",GEM,"Consumer Services"
"GAGE ROADS BREWING CO LIMITED",GRB,"Food, Beverage & Tobacco"
"GALAXY RESOURCES LIMITED",GXY,"Materials"
"GALE PACIFIC LIMITED",GAP,"Consumer Durables & Apparel"
"GALILEE ENERGY LIMITED",GLL,"Energy"
"GARDA CAPITAL GROUP",GCM,"Not Applic"
"GARDA DIVERSIFIED PROPERTY FUND",GDF,"Real Estate"
"GAS2GRID LIMITED",GGX,"Energy"
"GASCOYNE RESOURCES LIMITED",GCY,"Materials"
"GATEWAY LIFESTYLE GROUP",GTY,"Real Estate"
"GATEWAY MINING LIMITED",GML,"Materials"
"GAZAL CORPORATION LIMITED",GZL,"Consumer Durables & Apparel"
"GB ENERGY LIMITED",GBX,"Energy"
"GBM GOLD LTD",GBM,"Materials"
"GBM RESOURCES LIMITED",GBZ,"Materials"
"GBST HOLDINGS LIMITED",GBT,"Software & Services"
"GDI PROPERTY GROUP",GDI,"Real Estate"
"GENERA BIOSYSTEMS LIMITED",GBI,"Pharmaceuticals, Biotechnology & Life Sciences"
"GENERATION HEALTHCARE REIT",GHC,"Real Estate"
"GENESIS ENERGY LIMITED",GNE,"Utilities"
"GENESIS MINERALS LIMITED",GMD,"Materials"
"GENESIS RESOURCES LIMITED",GES,"Materials"
"GENETIC SIGNATURES LIMITED",GSS,"Pharmaceuticals, Biotechnology & Life Sciences"
"GENETIC TECHNOLOGIES LIMITED",GTG,"Pharmaceuticals, Biotechnology & Life Sciences"
"GENEX POWER LIMITED",GNX,"Utilities"
"GENTRACK GROUP LIMITED",GTK,"Software & Services"
"GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED",GMA,"Banks"
"GEOPACIFIC RESOURCES LTD",GPR,"Materials"
"GETSWIFT LIMITED",GSW,"Software & Services"
"GI DYNAMICS, INC",GID,"Health Care Equipment & Services"
"GINDALBIE METALS LTD",GBG,"Materials"
"GLADIATOR RESOURCES LIMITED",GLA,"Materials"
"GLENNON SMALL COMPANIES LIMITED",GC1,"Not Applic"
"GLG CORP LTD",GLE,"Consumer Durables & Apparel"
"GLOBAL CONSTRUCTION SERVICES LIMITED",GCS,"Capital Goods"
"GLOBAL ENERGY VENTURES LTD",GEV,"Energy"
"GLOBAL FORTUNE INVESTMENT LIMITED",GFI,"Materials"
"GLOBAL GEOSCIENCE LIMITED",GSC,"Materials"
"GLOBAL GOLD HOLDINGS LIMITED",GGH,"Diversified Financials"
"GLOBAL HEALTH LIMITED",GLH,"Health Care Equipment & Services"
"GLOBAL MASTERS FUND LIMITED",GFL,"Diversified Financials"
"GLOBAL PETROLEUM LIMITED",GBP,"Energy"
"GLOBAL VALUE FUND LIMITED",GVF,"Not Applic"
"GLOBE INTERNATIONAL LIMITED",GLB,"Consumer Durables & Apparel"
"GLOBE METALS & MINING LIMITED",GBE,"Materials"
"GME RESOURCES LIMITED",GME,"Materials"
"GO ENERGY GROUP LIMITED",GOE,"Capital Goods"
"GOCONNECT LIMITED",GCN,"Software & Services"
"GODFREYS GROUP LIMITED",GFY,"Retailing"
"GOLD MOUNTAIN LIMITED",GMN,"Materials"
"GOLD ROAD RESOURCES LIMITED",GOR,"Materials"
"GOLDEN CROSS RESOURCES LTD",GCR,"Materials"
"GOLDEN DEEPS LIMITED.",GED,"Materials"
"GOLDEN MILE RESOURCES LTD",G88,"Class Pend"
"GOLDEN RIM RESOURCES LTD",GMR,"Materials"
"GOLDFIELDS MONEY LIMITED",GMY,"Banks"
"GONDWANA RESOURCES LIMITED",GDA,"Materials"
"GOODMAN GROUP",GMG,"Real Estate"
"GOODMAN PLUS TRUST",GMP,"Not Applic"
"GOOROO VENTURES LIMITED",GOO,"Software & Services"
"GOWING BROS LIMITED",GOW,"Diversified Financials"
"GPS ALLIANCE HOLDINGS LIMITED",GPS,"Real Estate"
"GPT GROUP",GPT,"Real Estate"
"GR ENGINEERING SERVICES LIMITED",GNG,"Materials"
"GRAINCORP LIMITED",GNC,"Food, Beverage & Tobacco"
"GRAND GULF ENERGY LIMITED",GGE,"Energy"
"GRANDBRIDGE LIMITED",GBA,"Diversified Financials"
"GRANGE RESOURCES LIMITED.",GRR,"Materials"
"GRAPHEX MINING LIMITED",GPX,"Materials"
"GRAPHITECORP LIMITED",GRA,"Materials"
"GRAYS ECOMMERCE GROUP LIMITED",GEG,"Software & Services"
"GREAT BOULDER RESOURCES LIMITED",GBR,"Materials"
"GREAT WESTERN EXPLORATION LIMITED.",GTE,"Materials"
"GREENCROSS LIMITED",GXL,"Retailing"
"GREENLAND MINERALS AND ENERGY LIMITED",GGG,"Materials"
"GREENPOWER ENERGY LIMITED",GPP,"Energy"
"GREENVALE ENERGY LIMITED",GRV,"Energy"
"GROWTHPOINT PROPERTIES AUSTRALIA",GOZ,"Real Estate"
"GTI RESOURCES LIMITED",GTR,"Materials"
"GTN LIMITED",GTN,"Media"
"GULF INDUSTRIALS LIMITED",GLF,"Materials"
"GULF MANGANESE CORPORATION LIMITED",GMC,"Materials"
"GULLEWA LIMITED",GUL,"Materials"
"GWA GROUP LIMITED.",GWA,"Capital Goods"
